
5 Mot inconnu : ENT => ====== ENT - Triade (gestion scolaire) ====== | ent
72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Importation de données de la base élèves GEP (France) |    => suggestions : ['']
72 Mot inconnu : GEP =>   * Importation de données de la base élèves GEP (France) | gep

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Importation de données de la base élèves SCONET (France) |    => suggestions : ['']
73 Mot inconnu : SCONET =>   * Importation de données de la base élèves SCONET (France) | sconet

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Importation de données de la base élèves CIT (Belgique) |    => suggestions : ['']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Importation de fichiers texte, ASCII, OpenOffice, Excel, ... |    => suggestions : ['']
75 Mot inconnu : Excel =>   * Importation de fichiers texte, ASCII, OpenOffice, Excel, ... | excel
75 Une de ces ponctuations est superflue. =>   * Importation de fichiers texte, ASCII, OpenOffice, Excel, ... | , . => suggestions : [',', '.']
75 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Importation de fichiers texte, ASCII, OpenOffice, Excel, ... | ... => suggestions : ['…']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Exportation de fichiers texte, ASCII, OpenOffice, Excel, ... |    => suggestions : ['']
76 Mot inconnu : Excel =>   * Exportation de fichiers texte, ASCII, OpenOffice, Excel, ... | excel
76 Une de ces ponctuations est superflue. =>   * Exportation de fichiers texte, ASCII, OpenOffice, Excel, ... | , . => suggestions : [',', '.']
76 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Exportation de fichiers texte, ASCII, OpenOffice, Excel, ... | ... => suggestions : ['…']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Recherche d'information, et création de fichiers  |    => suggestions : ['']
77 Espace(s) en fin de ligne à supprimer. =>   *  Recherche d'information, et création de fichiers  |   => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Gestion des certificats de scolarité |    => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Historie des opérations déjà effectuées |    => suggestions : ['']

