
6 Mot inconnu : Eee => ====== Asus Eee PC 1201 ====== | eee
53 Si “PCI/AGP” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | 760 pci/agp => suggestions : ['760\xa0PCI/AGP']
53 Mot inconnu : PCI =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | pci
53 Mot inconnu : AGP =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | agp
53 Mot inconnu : Gx =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | gx
53 Mot inconnu : PCIE =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | pcie
53 Mot inconnu : VGA =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | vga
53 Mot inconnu : Display =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | display

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Mémoire :** 1 Go |    => suggestions : ['']
54 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Mémoire :** 1 Go | 1 go => suggestions : ['1\xa0Go']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 2 heures. |    => suggestions : ['']
55 Si “mAh” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 2 heures. | 4400 mah => suggestions : ['4\xa0400\xa0mAh']
55 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 2 heures. |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
