
100 Mot inconnu : universe [[56:64]] => deb http://be.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> universe
100 Mot inconnu : multiverse [[65:75]] => deb http://be.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> multiverse

102 Mot inconnu : apt-get [[73:80]] => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

103 Mot inconnu : deb-src [[2:9]] => # deb-src http://be.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> deb-src
103 Mot inconnu : universe [[54:62]] => # deb-src http://be.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> universe
103 Mot inconnu : multiverse [[63:73]] => # deb-src http://be.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> multiverse

104 Mot inconnu : deb-src [[2:9]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> deb-src
104 Mot inconnu : xenial-security [[44:59]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> xenial-security
104 Mot inconnu : universe [[60:68]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> universe
104 Mot inconnu : multiverse [[69:79]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> multiverse

105 Mot inconnu : deb-src [[2:9]] => # deb-src http://be.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> deb-src
105 Mot inconnu : xenial-updates [[47:61]] => # deb-src http://be.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> xenial-updates
105 Mot inconnu : universe [[62:70]] => # deb-src http://be.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> universe
105 Mot inconnu : multiverse [[71:81]] => # deb-src http://be.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> multiverse

108 S’il s’agit d’un adjectif, ne mettez pas de majuscule. [[12:19]] => == Serveurs Suisses == <|> suisses => suggestions : ['suisses']

110 Mot inconnu : deb [[0:3]] => deb http://ch.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> deb
110 Mot inconnu : universe [[48:56]] => deb http://ch.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> universe
110 Mot inconnu : multiverse [[57:67]] => deb http://ch.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> multiverse

111 Mot inconnu : deb [[0:3]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> deb
111 Mot inconnu : xenial-security [[38:53]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> xenial-security
111 Mot inconnu : universe [[54:62]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> universe
111 Mot inconnu : multiverse [[63:73]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> multiverse

112 Mot inconnu : deb [[0:3]] => deb http://ch.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> deb
112 Mot inconnu : xenial-updates [[41:55]] => deb http://ch.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> xenial-updates
112 Mot inconnu : universe [[56:64]] => deb http://ch.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> universe
112 Mot inconnu : multiverse [[65:75]] => deb http://ch.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> multiverse

114 Mot inconnu : apt-get [[73:80]] => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

115 Mot inconnu : deb-src [[2:9]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> deb-src
115 Mot inconnu : universe [[54:62]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> universe
115 Mot inconnu : multiverse [[63:73]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> multiverse

116 Mot inconnu : deb-src [[2:9]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> deb-src
116 Mot inconnu : xenial-security [[44:59]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> xenial-security
116 Mot inconnu : universe [[60:68]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> universe
116 Mot inconnu : multiverse [[69:79]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> multiverse

117 Mot inconnu : deb-src [[2:9]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> deb-src
117 Mot inconnu : xenial-updates [[47:61]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> xenial-updates
117 Mot inconnu : universe [[62:70]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> universe
117 Mot inconnu : multiverse [[71:81]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> multiverse

