
93 Mot inconnu : trusty-updates => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> trusty-updates
93 Mot inconnu : universe => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> universe
93 Mot inconnu : multiverse => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> multiverse

96 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Belges == <|> belges => suggestions : ['belges']

98 Mot inconnu : deb => deb http://be.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> deb
98 Mot inconnu : universe => deb http://be.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> universe
98 Mot inconnu : multiverse => deb http://be.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> multiverse

99 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> deb
99 Mot inconnu : trusty-security => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> trusty-security
99 Mot inconnu : universe => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> universe
99 Mot inconnu : multiverse => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> multiverse

100 Mot inconnu : deb => deb http://be.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> deb
100 Mot inconnu : trusty-updates => deb http://be.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> trusty-updates
100 Mot inconnu : universe => deb http://be.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> universe
100 Mot inconnu : multiverse => deb http://be.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> multiverse

102 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

103 Mot inconnu : deb-src => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> deb-src
103 Mot inconnu : universe => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> universe
103 Mot inconnu : multiverse => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> multiverse

104 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> deb-src
104 Mot inconnu : trusty-security => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> trusty-security
104 Mot inconnu : universe => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> universe
104 Mot inconnu : multiverse => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> multiverse

105 Mot inconnu : deb-src => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> deb-src
105 Mot inconnu : trusty-updates => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> trusty-updates
105 Mot inconnu : universe => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> universe
105 Mot inconnu : multiverse => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> multiverse

108 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Suisses == <|> suisses => suggestions : ['suisses']

110 Mot inconnu : deb => deb http://ch.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> deb
110 Mot inconnu : universe => deb http://ch.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> universe
