
4 Mot inconnu : Winetricks [[7:17]] => ====== Winetricks ====== <|> winetricks

27 Accord de genre erroné : « bibliothèque » est féminin. [[89:91]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> un => suggestions : une
27 Mot inconnu : the [[129:132]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> the
27 Mot inconnu : default [[133:140]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> default
27 Mot inconnu : wineprefix [[141:151]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> wineprefix
27 Mot inconnu : Install [[162:169]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> install
27 Mot inconnu : component [[187:196]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> component
36 Mot inconnu : option-de-config-wine [[92:113]] => Où on remplacera « nom-de-la-bibliothèque » par le nom de la bibliothèque à installer, et « option-de-config-wine » par l'instruction de configuration. Un espace séparera chaque élément. <|> option-de-config-wine

49 Mot inconnu : fontfix [[19:26]] => //(Ici on a ajouté fontfix, puisque le commentaire qui accompagne cette bibliothèque indique son utilité avec dotnet20.)// <|> fontfix
49 Mot inconnu : dotnet20 [[110:118]] => //(Ici on a ajouté fontfix, puisque le commentaire qui accompagne cette bibliothèque indique son utilité avec dotnet20.)// <|> dotnet20

56 Mot inconnu : winetricks [[18:28]] => Les bibliothèques winetricks et instructions de configuration disponibles sont listées dans le tableau ci-dessous. <|> winetricks

60 Mot inconnu : winetricks [[94:104]] => Ce tableau liste les bibliothèques et instructions de configuration qui sont disponibles dans winetricks. À noter que le script winetricks est régulièrement mis à jour, il est donc possible que cette liste ne soit pas exhaustive. <|> winetricks
60 Mot inconnu : winetricks [[128:138]] => Ce tableau liste les bibliothèques et instructions de configuration qui sont disponibles dans winetricks. À noter que le script winetricks est régulièrement mis à jour, il est donc possible que cette liste ne soit pas exhaustive. <|> winetricks

63 Espace(s) surnuméraire(s) à supprimer. [[5:15]] => |7zip          |7-zip file archiver| <|>            => suggestions :  
77 Mot inconnu : redistributable [[52:67]] => |d3dx10        |MS d3dx10_??.dll (from DirectX user redistributable)| <|> redistributable

78 Mot inconnu : d3dxof [[1:7]] => |d3dxof        |MS d3dxof.dll (from DirectX user redistributable)| <|> d3dxof
78 Espace(s) surnuméraire(s) à supprimer. [[7:15]] => |d3dxof        |MS d3dxof.dll (from DirectX user redistributable)| <|>          => suggestions :  
78 Mot inconnu : d3dxof [[19:25]] => |d3dxof        |MS d3dxof.dll (from DirectX user redistributable)| <|> d3dxof
78 Mot inconnu : from [[31:35]] => |d3dxof        |MS d3dxof.dll (from DirectX user redistributable)| <|> from
78 Mot inconnu : redistributable [[49:64]] => |d3dxof        |MS d3dxof.dll (from DirectX user redistributable)| <|> redistributable

79 Mot inconnu : dcom98 [[1:7]] => |dcom98        |MS DCOM (ole32, oleaut32); licence Windows 98 requise, mais ne vérifie pas| <|> dcom98
79 Espace(s) surnuméraire(s) à supprimer. [[7:15]] => |dcom98        |MS DCOM (ole32, oleaut32); licence Windows 98 requise, mais ne vérifie pas| <|>          => suggestions :  
79 Mot inconnu : DCOM [[19:23]] => |dcom98        |MS DCOM (ole32, oleaut32); licence Windows 98 requise, mais ne vérifie pas| <|> dcom
79 Mot inconnu : ole32 [[25:30]] => |dcom98        |MS DCOM (ole32, oleaut32); licence Windows 98 requise, mais ne vérifie pas| <|> ole32
79 Mot inconnu : oleaut32 [[32:40]] => |dcom98        |MS DCOM (ole32, oleaut32); licence Windows 98 requise, mais ne vérifie pas| <|> oleaut32
79 Accord de nombre erroné avec « 98 » : « requise » devrait être au pluriel. [[62:69]] => |dcom98        |MS DCOM (ole32, oleaut32); licence Windows 98 requise, mais ne vérifie pas| <|> requise => suggestions : requises

80 Mot inconnu : dinput8 [[1:8]] => |dinput8       |MS dinput8.dll (from DirectX user redistributable)| <|> dinput8
80 Espace(s) surnuméraire(s) à supprimer. [[8:15]] => |dinput8       |MS dinput8.dll (from DirectX user redistributable)| <|>         => suggestions :  
80 Mot inconnu : dinput8 [[19:26]] => |dinput8       |MS dinput8.dll (from DirectX user redistributable)| <|> dinput8
80 Mot inconnu : from [[32:36]] => |dinput8       |MS dinput8.dll (from DirectX user redistributable)| <|> from
80 Mot inconnu : redistributable [[50:65]] => |dinput8       |MS dinput8.dll (from DirectX user redistributable)| <|> redistributable

81 Mot inconnu : dirac0 [[1:7]] => |dirac0.8      |the obsolete Dirac 0.8 directshow filter| <|> dirac0
81 Espace(s) surnuméraire(s) à supprimer. [[9:15]] => |dirac0.8      |the obsolete Dirac 0.8 directshow filter| <|>        => suggestions :  
81 Mot inconnu : the [[16:19]] => |dirac0.8      |the obsolete Dirac 0.8 directshow filter| <|> the
81 Mot inconnu : obsolete [[20:28]] => |dirac0.8      |the obsolete Dirac 0.8 directshow filter| <|> obsolete
81 Mot inconnu : directshow [[39:49]] => |dirac0.8      |the obsolete Dirac 0.8 directshow filter| <|> directshow
81 Mot inconnu : filter [[50:56]] => |dirac0.8      |the obsolete Dirac 0.8 directshow filter| <|> filter

82 Mot inconnu : directmusic [[1:12]] => |directmusic   |MS DirectMusic (from DirectX user redistributable)| <|> directmusic
82 Espace(s) surnuméraire(s) à supprimer. [[12:15]] => |directmusic   |MS DirectMusic (from DirectX user redistributable)| <|>     => suggestions :  
82 Mot inconnu : DirectMusic [[19:30]] => |directmusic   |MS DirectMusic (from DirectX user redistributable)| <|> directmusic
82 Mot inconnu : from [[32:36]] => |directmusic   |MS DirectMusic (from DirectX user redistributable)| <|> from
82 Mot inconnu : redistributable [[50:65]] => |directmusic   |MS DirectMusic (from DirectX user redistributable)| <|> redistributable

83 Mot inconnu : directplay [[1:11]] => |directplay    | MS DirectPlay (from DirectX user redistributable)| <|> directplay
83 Espace(s) surnuméraire(s) à supprimer. [[11:15]] => |directplay    | MS DirectPlay (from DirectX user redistributable)| <|>      => suggestions :  
83 Mot inconnu : DirectPlay [[20:30]] => |directplay    | MS DirectPlay (from DirectX user redistributable)| <|> directplay
83 Mot inconnu : from [[32:36]] => |directplay    | MS DirectPlay (from DirectX user redistributable)| <|> from
83 Mot inconnu : redistributable [[50:65]] => |directplay    | MS DirectPlay (from DirectX user redistributable)| <|> redistributable

84 Mot inconnu : directx9 [[1:9]] => |directx9      |MS DirectX 9 user redistributable (non recommandé ! utiliser plutôt d3dx9)| <|> directx9
84 Espace(s) surnuméraire(s) à supprimer. [[9:15]] => |directx9      |MS DirectX 9 user redistributable (non recommandé ! utiliser plutôt d3dx9)| <|>        => suggestions :  
84 Mot inconnu : redistributable [[34:49]] => |directx9      |MS DirectX 9 user redistributable (non recommandé ! utiliser plutôt d3dx9)| <|> redistributable
84 Mot inconnu : d3dx9 [[84:89]] => |directx9      |MS DirectX 9 user redistributable (non recommandé ! utiliser plutôt d3dx9)| <|> d3dx9

85 Mot inconnu : directx9-beta [[1:14]] => |directx9-beta |MS DirectX 9 user redistributable - beta verb (non recommandé ! utiliser plutôt d3dx9)| <|> directx9-beta
85 Mot inconnu : redistributable [[34:49]] => |directx9-beta |MS DirectX 9 user redistributable - beta verb (non recommandé ! utiliser plutôt d3dx9)| <|> redistributable
85 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[49:52]] => |directx9-beta |MS DirectX 9 user redistributable - beta verb (non recommandé ! utiliser plutôt d3dx9)| <|>  -  => suggestions :  –  —  − 
85 Mot inconnu : beta [[52:56]] => |directx9-beta |MS DirectX 9 user redistributable - beta verb (non recommandé ! utiliser plutôt d3dx9)| <|> beta
85 Mot inconnu : verb [[57:61]] => |directx9-beta |MS DirectX 9 user redistributable - beta verb (non recommandé ! utiliser plutôt d3dx9)| <|> verb
85 Mot inconnu : d3dx9 [[96:101]] => |directx9-beta |MS DirectX 9 user redistributable - beta verb (non recommandé ! utiliser plutôt d3dx9)| <|> d3dx9

86 Mot inconnu : divx [[1:5]] => |divx          |divx video codec| <|> divx
86 Espace(s) surnuméraire(s) à supprimer. [[5:15]] => |divx          |divx video codec| <|>            => suggestions :  
86 Mot inconnu : divx [[16:20]] => |divx          |divx video codec| <|> divx
86 Mot inconnu : video [[21:26]] => |divx          |divx video codec| <|> video

87 Mot inconnu : dotnet11 [[1:9]] => |dotnet11      |MS .NET 1.1 (Licence Windows requise)| <|> dotnet11
87 Espace(s) surnuméraire(s) à supprimer. [[9:15]] => |dotnet11      |MS .NET 1.1 (Licence Windows requise)| <|>        => suggestions :  
87 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[18:20]] => |dotnet11      |MS .NET 1.1 (Licence Windows requise)| <|>  . => suggestions : .. 

88 Mot inconnu : dotnet20 [[1:9]] => |dotnet20      |MS .NET 2.0 (Licence Windows requise)| <|> dotnet20
88 Espace(s) surnuméraire(s) à supprimer. [[9:15]] => |dotnet20      |MS .NET 2.0 (Licence Windows requise)| <|>        => suggestions :  
88 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[18:20]] => |dotnet20      |MS .NET 2.0 (Licence Windows requise)| <|>  . => suggestions : .. 

89 Mot inconnu : dotnet20sp2 [[1:12]] => |dotnet20sp2   |MS .NET 2.0 sp2 (Licence Windows requise)| <|> dotnet20sp2
89 Espace(s) surnuméraire(s) à supprimer. [[12:15]] => |dotnet20sp2   |MS .NET 2.0 sp2 (Licence Windows requise)| <|>     => suggestions :  
89 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[18:20]] => |dotnet20sp2   |MS .NET 2.0 sp2 (Licence Windows requise)| <|>  . => suggestions : .. 
89 Mot inconnu : sp2 [[28:31]] => |dotnet20sp2   |MS .NET 2.0 sp2 (Licence Windows requise)| <|> sp2

90 Mot inconnu : dotnet30 [[1:9]] => |dotnet30      |MS .NET 3.0 (Licence Windows requise **-- fonctionnement incertain dans l'immédiat**)| <|> dotnet30
90 Espace(s) surnuméraire(s) à supprimer. [[9:15]] => |dotnet30      |MS .NET 3.0 (Licence Windows requise **-- fonctionnement incertain dans l'immédiat**)| <|>        => suggestions :  
