
5 Mot inconnu : XVNC => ====== XVNC - Un Terminal Serveur X par Vnc ====== | xvnc
45 Mot inconnu : tightvnc => [[apt>tightvncserver,xtightvncviewer,tightvnc-java|Cliquer pour installer tightvnc.]] | tightvnc

47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Fonctionnera également dans un navigateur web - avec java. |  -  => suggestions : [' – ', ' — ', ' − ']

51 Mot inconnu : X11Vnc => ==== X11Vnc (conseillé)==== | x11vnc
53 Mot inconnu : X11Vnc => [[apt>x11vnc|Cliquer pour installer X11Vnc.]] | x11vnc

55 Mot inconnu : Vino => ====Vino ==== | vino

61 Mot inconnu : vnc => Une fois terminé, cela devrait vous donner quatre programmes vnc connexes : vncconnect, vncserver, vncpasswd, et vncviewer. | vnc
61 Mot inconnu : vncconnect => Une fois terminé, cela devrait vous donner quatre programmes vnc connexes : vncconnect, vncserver, vncpasswd, et vncviewer. | vncconnect
61 Mot inconnu : vncserver => Une fois terminé, cela devrait vous donner quatre programmes vnc connexes : vncconnect, vncserver, vncpasswd, et vncviewer. | vncserver
61 Mot inconnu : vncpasswd => Une fois terminé, cela devrait vous donner quatre programmes vnc connexes : vncconnect, vncserver, vncpasswd, et vncviewer. | vncpasswd
61 Mot inconnu : vncviewer => Une fois terminé, cela devrait vous donner quatre programmes vnc connexes : vncconnect, vncserver, vncpasswd, et vncviewer. | vncviewer

65 Mot inconnu : vncconnect => <note important>Pas de vncconnect, vncserver vncpasswd et vncviewer après installation de x11vnc...</note> | vncconnect
65 Mot inconnu : vncserver => <note important>Pas de vncconnect, vncserver vncpasswd et vncviewer après installation de x11vnc...</note> | vncserver
65 Mot inconnu : vncpasswd => <note important>Pas de vncconnect, vncserver vncpasswd et vncviewer après installation de x11vnc...</note> | vncpasswd
65 Mot inconnu : vncviewer => <note important>Pas de vncconnect, vncserver vncpasswd et vncviewer après installation de x11vnc...</note> | vncviewer
65 Mot inconnu : x11vnc => <note important>Pas de vncconnect, vncserver vncpasswd et vncviewer après installation de x11vnc...</note> | x11vnc
65 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>Pas de vncconnect, vncserver vncpasswd et vncviewer après installation de x11vnc...</note> | ... => suggestions : ['…']

67 Mot inconnu : VNC => Nous ne sommes déjà loin de la fin, mais vous pouvez facilement tester votre nouvelle installation de VNC en démarrant votre serveur VNC.  | vnc
67 Mot inconnu : VNC => Nous ne sommes déjà loin de la fin, mais vous pouvez facilement tester votre nouvelle installation de VNC en démarrant votre serveur VNC.  | vnc
67 Espace(s) en fin de ligne à supprimer. => Nous ne sommes déjà loin de la fin, mais vous pouvez facilement tester votre nouvelle installation de VNC en démarrant votre serveur VNC.  |   => suggestions : ['']

71 Mot inconnu : VNC => Vous serez invité à entrer un mot de passe pour les clients (VNC viewer), alors allez-y. Ensuite, vous serez invité à entrer un mot de passe pour les clients "view only", ce qui signifie qu'ils peuvent voir le bureau mais ne peuvent pas interagir avec lui. Sympathique pour des démonstrations ! Après avoir saisi le mot de passe, l'initialisation du serveur VNC se terminera. | vnc
71 Mot inconnu : viewer => Vous serez invité à entrer un mot de passe pour les clients (VNC viewer), alors allez-y. Ensuite, vous serez invité à entrer un mot de passe pour les clients "view only", ce qui signifie qu'ils peuvent voir le bureau mais ne peuvent pas interagir avec lui. Sympathique pour des démonstrations ! Après avoir saisi le mot de passe, l'initialisation du serveur VNC se terminera. | viewer
71 Guillemets typographiques ouvrants. => Vous serez invité à entrer un mot de passe pour les clients (VNC viewer), alors allez-y. Ensuite, vous serez invité à entrer un mot de passe pour les clients "view only", ce qui signifie qu'ils peuvent voir le bureau mais ne peuvent pas interagir avec lui. Sympathique pour des démonstrations ! Après avoir saisi le mot de passe, l'initialisation du serveur VNC se terminera. | " => suggestions : ['«\xa0', '“']
71 Mot inconnu : view => Vous serez invité à entrer un mot de passe pour les clients (VNC viewer), alors allez-y. Ensuite, vous serez invité à entrer un mot de passe pour les clients "view only", ce qui signifie qu'ils peuvent voir le bureau mais ne peuvent pas interagir avec lui. Sympathique pour des démonstrations ! Après avoir saisi le mot de passe, l'initialisation du serveur VNC se terminera. | view
71 Mot inconnu : only => Vous serez invité à entrer un mot de passe pour les clients (VNC viewer), alors allez-y. Ensuite, vous serez invité à entrer un mot de passe pour les clients "view only", ce qui signifie qu'ils peuvent voir le bureau mais ne peuvent pas interagir avec lui. Sympathique pour des démonstrations ! Après avoir saisi le mot de passe, l'initialisation du serveur VNC se terminera. | only
