
148 Mot inconnu : Widescreen [[21:31]] => === Blackberry Video Widescreen === <|> widescreen
150 Mot inconnu : mp4 [[16:19]] =>   * Extension : mp4 <|> mp4
151 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

156 Mot inconnu : Creative [[5:13]] => ==== Creative Zen ==== <|> creative

158 Mot inconnu : Fullscreen [[8:18]] => === Zen Fullscreen === <|> fullscreen
160 Mot inconnu : avi [[16:19]] =>   * Extension : avi <|> avi
161 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

166 Mot inconnu : Widescreen [[8:18]] => === Zen Widescreen === <|> widescreen
168 Mot inconnu : avi [[16:19]] =>   * Extension : avi <|> avi
169 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

174 Mot inconnu : DV [[5:7]] => ==== DV ==== <|> dv

176 Mot inconnu : Raw [[4:7]] => === Raw DV for NTSC Fullscreen === <|> raw
176 Mot inconnu : DV [[8:10]] => === Raw DV for NTSC Fullscreen === <|> dv
176 Mot inconnu : NTSC [[15:19]] => === Raw DV for NTSC Fullscreen === <|> ntsc
176 Mot inconnu : Fullscreen [[20:30]] => === Raw DV for NTSC Fullscreen === <|> fullscreen
178 Mot inconnu : dv [[16:18]] =>   * Extension : dv <|> dv
179 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

184 Mot inconnu : Raw [[4:7]] => === Raw DV for PAL Fullscreen === <|> raw
184 Mot inconnu : DV [[8:10]] => === Raw DV for PAL Fullscreen === <|> dv
184 Mot inconnu : Fullscreen [[19:29]] => === Raw DV for PAL Fullscreen === <|> fullscreen
186 Mot inconnu : dv [[16:18]] =>   * Extension : dv <|> dv
187 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

194 Mot inconnu : NTSC [[4:8]] => === NTSC DVD Fullscreen === <|> ntsc
194 Mot inconnu : Fullscreen [[13:23]] => === NTSC DVD Fullscreen === <|> fullscreen
196 Mot inconnu : mpg [[16:19]] =>   * Extension : mpg <|> mpg
197 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

202 Mot inconnu : NTSC [[4:8]] => === NTSC DVD Widescreen === <|> ntsc
202 Mot inconnu : Widescreen [[13:23]] => === NTSC DVD Widescreen === <|> widescreen
204 Mot inconnu : mpg [[16:19]] =>   * Extension : mpg <|> mpg
205 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

210 Mot inconnu : NTSC [[4:8]] => === NTSC DVD HQ Fullscreen === <|> ntsc
210 Mot inconnu : HQ [[13:15]] => === NTSC DVD HQ Fullscreen === <|> hq
210 Mot inconnu : Fullscreen [[16:26]] => === NTSC DVD HQ Fullscreen === <|> fullscreen
212 Mot inconnu : mpg [[16:19]] =>   * Extension : mpg <|> mpg
213 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

218 Mot inconnu : NTSC [[4:8]] => === NTSC DVD HQ Widescreen === <|> ntsc
218 Mot inconnu : HQ [[13:15]] => === NTSC DVD HQ Widescreen === <|> hq
218 Mot inconnu : Widescreen [[16:26]] => === NTSC DVD HQ Widescreen === <|> widescreen
220 Mot inconnu : mpg [[16:19]] =>   * Extension : mpg <|> mpg
221 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

226 Mot inconnu : NTSC [[4:8]] => === NTSC DVD Fast (LQ) === <|> ntsc
226 Mot inconnu : Fast [[13:17]] => === NTSC DVD Fast (LQ) === <|> fast
226 Mot inconnu : LQ [[19:21]] => === NTSC DVD Fast (LQ) === <|> lq
228 Mot inconnu : mpg [[16:19]] =>   * Extension : mpg <|> mpg
229 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

234 Mot inconnu : Fullscreen [[12:22]] => === PAL DVD Fullscreen === <|> fullscreen
236 Mot inconnu : mpg [[16:19]] =>   * Extension : mpg <|> mpg
237 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

242 Mot inconnu : Widescreen [[12:22]] => === PAL DVD Widescreen === <|> widescreen
244 Mot inconnu : mpg [[16:19]] =>   * Extension : mpg <|> mpg
245 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

250 Mot inconnu : HQ [[12:14]] => === PAL DVD HQ Fullscreen === <|> hq
250 Mot inconnu : Fullscreen [[15:25]] => === PAL DVD HQ Fullscreen === <|> fullscreen
252 Mot inconnu : mpg [[16:19]] =>   * Extension : mpg <|> mpg
253 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

258 Mot inconnu : HQ [[12:14]] => === PAL DVD HQ Widescreen === <|> hq
258 Mot inconnu : Widescreen [[15:25]] => === PAL DVD HQ Widescreen === <|> widescreen
260 Mot inconnu : mpg [[16:19]] =>   * Extension : mpg <|> mpg
261 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

266 Mot inconnu : Fast [[12:16]] => === PAL DVD Fast (LQ) === <|> fast
266 Mot inconnu : LQ [[18:20]] => === PAL DVD Fast (LQ) === <|> lq
268 Mot inconnu : mpg [[16:19]] =>   * Extension : mpg <|> mpg
269 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

274 Mot inconnu : android [[12:19]] => ==== Google android ==== <|> android

276 Mot inconnu : video [[30:35]] => === Google Android compatible video === <|> video
278 Mot inconnu : mp4 [[16:19]] =>   * Extension : mp4 <|> mp4
279 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

284 Mot inconnu : video [[30:35]] => === Google Android compatible video. Video bitrate: 480 kb/s === <|> video
284 Mot inconnu : Video [[37:42]] => === Google Android compatible video. Video bitrate: 480 kb/s === <|> video
284 Mot inconnu : bitrate [[43:50]] => === Google Android compatible video. Video bitrate: 480 kb/s === <|> bitrate
284 Si “kb/s” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[52:60]] => === Google Android compatible video. Video bitrate: 480 kb/s === <|> 480 kb/s => suggestions : ['480\xa0kb/s']
284 Mot inconnu : kb [[56:58]] => === Google Android compatible video. Video bitrate: 480 kb/s === <|> kb
286 Mot inconnu : mp4 [[16:19]] =>   * Extension : mp4 <|> mp4
287 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

292 Mot inconnu : Ipod-iTunes [[5:16]] => ==== Ipod-iTunes ==== <|> ipod-itunes

294 Mot inconnu : iPhone [[4:10]] => === iPhone WideScreen === <|> iphone
294 Mot inconnu : WideScreen [[11:21]] => === iPhone WideScreen === <|> widescreen
296 Mot inconnu : m4v [[16:19]] =>   * Extension : m4v <|> m4v
297 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

302 Mot inconnu : iPod [[4:8]] => === iPod Small Fullscreen === <|> ipod
302 Mot inconnu : Fullscreen [[15:25]] => === iPod Small Fullscreen === <|> fullscreen
304 Mot inconnu : m4v [[16:19]] =>   * Extension : m4v <|> m4v
305 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

310 Mot inconnu : iPod [[4:8]] => === iPod Small WideScreen === <|> ipod
310 Mot inconnu : WideScreen [[15:25]] => === iPod Small WideScreen === <|> widescreen
312 Mot inconnu : m4v [[16:19]] =>   * Extension : m4v <|> m4v
313 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

318 Mot inconnu : iPod [[4:8]] => === iPod Small WideScreen Anamorphic === <|> ipod
318 Mot inconnu : WideScreen [[15:25]] => === iPod Small WideScreen Anamorphic === <|> widescreen
318 Mot inconnu : Anamorphic [[26:36]] => === iPod Small WideScreen Anamorphic === <|> anamorphic
320 Mot inconnu : m4v [[16:19]] =>   * Extension : m4v <|> m4v
321 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

326 Mot inconnu : iPod [[4:8]] => === iPod Small Converted to WideScreen === <|> ipod
326 Mot inconnu : Converted [[15:24]] => === iPod Small Converted to WideScreen === <|> converted
326 Mot inconnu : to [[25:27]] => === iPod Small Converted to WideScreen === <|> to
326 Mot inconnu : WideScreen [[28:38]] => === iPod Small Converted to WideScreen === <|> widescreen
328 Mot inconnu : m4v [[16:19]] =>   * Extension : m4v <|> m4v
329 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

334 Mot inconnu : iPod [[4:8]] => === iPod TV Out Fullscreen === <|> ipod
334 Mot inconnu : Fullscreen [[16:26]] => === iPod TV Out Fullscreen === <|> fullscreen
336 Mot inconnu : m4v [[16:19]] =>   * Extension : m4v <|> m4v
337 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

342 Mot inconnu : iPod [[4:8]] => === iPod TV Out Widescreen === <|> ipod
342 Mot inconnu : Widescreen [[16:26]] => === iPod TV Out Widescreen === <|> widescreen
344 Mot inconnu : m4v [[16:19]] =>   * Extension : m4v <|> m4v
345 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

350 Mot inconnu : iPod [[4:8]] => === iPod TV Out Widescreen Anamorphic === <|> ipod
350 Mot inconnu : Widescreen [[16:26]] => === iPod TV Out Widescreen Anamorphic === <|> widescreen
350 Mot inconnu : Anamorphic [[27:37]] => === iPod TV Out Widescreen Anamorphic === <|> anamorphic
352 Mot inconnu : m4v [[16:19]] =>   * Extension : m4v <|> m4v
353 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

358 Mot inconnu : iPod [[4:8]] => === iPod TV Out Converted to Widescreen === <|> ipod
358 Mot inconnu : Converted [[16:25]] => === iPod TV Out Converted to Widescreen === <|> converted
358 Mot inconnu : to [[26:28]] => === iPod TV Out Converted to Widescreen === <|> to
358 Mot inconnu : Widescreen [[29:39]] => === iPod TV Out Converted to Widescreen === <|> widescreen
360 Mot inconnu : m4v [[16:19]] =>   * Extension : m4v <|> m4v
361 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

366 Mot inconnu : LG [[5:7]] => ==== LG ==== <|> lg

368 Mot inconnu : LG [[4:6]] => === LG Chocolate === <|> lg
368 Mot inconnu : Chocolate [[7:16]] => === LG Chocolate === <|> chocolate
370 Mot inconnu : mp4 [[16:19]] =>   * Extension : mp4 <|> mp4
371 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

378 Mot inconnu : WMV2 [[4:8]] => === WMV2 Generic === <|> wmv2
378 Mot inconnu : Generic [[9:16]] => === WMV2 Generic === <|> generic
380 Mot inconnu : wmv [[16:19]] =>   * Extension : wmv <|> wmv
381 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

386 Mot inconnu : WMV [[4:7]] => === WMV for Web Use === <|> wmv
388 Mot inconnu : wmv [[16:19]] =>   * Extension : wmv <|> wmv
389 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

394 Mot inconnu : Xbox [[4:8]] => === Xbox 360 === <|> xbox
396 Mot inconnu : wmv [[16:19]] =>   * Extension : wmv <|> wmv
397 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

402 Mot inconnu : Zune [[4:8]] => === Zune === <|> zune
404 Mot inconnu : wmv [[16:19]] =>   * Extension : wmv <|> wmv
405 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

410 Mot inconnu : Power [[4:9]] => === Power Point === <|> power
412 Mot inconnu : wmv [[16:19]] =>   * Extension : wmv <|> wmv
413 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

420 Mot inconnu : GPP [[5:8]] => === 3GPP H.263 128x96 4:3 AAC mono === <|> gpp
420 Signe de multiplication typographique. [[15:21]] => === 3GPP H.263 128x96 4:3 AAC mono === <|> 128x96 => suggestions : ['128\xa0×\xa096']
420 Mot inconnu : x96 [[18:21]] => === 3GPP H.263 128x96 4:3 AAC mono === <|> x96
420 Mot inconnu : AAC [[26:29]] => === 3GPP H.263 128x96 4:3 AAC mono === <|> aac
422 Mot inconnu : gp [[17:19]] =>   * Extension : 3gp <|> gp
423 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

428 Mot inconnu : GPP [[5:8]] => === 3GPP H.263 176x144 16:9 crop AAC mono === <|> gpp
428 Signe de multiplication typographique. [[15:22]] => === 3GPP H.263 176x144 16:9 crop AAC mono === <|> 176x144 => suggestions : ['176\xa0×\xa0144']
428 Mot inconnu : x144 [[18:22]] => === 3GPP H.263 176x144 16:9 crop AAC mono === <|> x144
428 Mot inconnu : crop [[28:32]] => === 3GPP H.263 176x144 16:9 crop AAC mono === <|> crop
428 Mot inconnu : AAC [[33:36]] => === 3GPP H.263 176x144 16:9 crop AAC mono === <|> aac
430 Mot inconnu : gp [[17:19]] =>   * Extension : 3gp <|> gp
431 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

436 Mot inconnu : GPP [[5:8]] => === 3GPP H.263 176x144 16:9 letterbox AAC mono === <|> gpp
436 Signe de multiplication typographique. [[15:22]] => === 3GPP H.263 176x144 16:9 letterbox AAC mono === <|> 176x144 => suggestions : ['176\xa0×\xa0144']
436 Mot inconnu : x144 [[18:22]] => === 3GPP H.263 176x144 16:9 letterbox AAC mono === <|> x144
436 Mot inconnu : letterbox [[28:37]] => === 3GPP H.263 176x144 16:9 letterbox AAC mono === <|> letterbox
436 Mot inconnu : AAC [[38:41]] => === 3GPP H.263 176x144 16:9 letterbox AAC mono === <|> aac
438 Mot inconnu : gp [[17:19]] =>   * Extension : 3gp <|> gp
439 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

444 Mot inconnu : GPP [[5:8]] => === 3GPP H.263 176x144 4:3 AAC mono === <|> gpp
444 Signe de multiplication typographique. [[15:22]] => === 3GPP H.263 176x144 4:3 AAC mono === <|> 176x144 => suggestions : ['176\xa0×\xa0144']
444 Mot inconnu : x144 [[18:22]] => === 3GPP H.263 176x144 4:3 AAC mono === <|> x144
