
6 Mot inconnu : Lighttpd => ====== Lighttpd : Un serveur web léger ====== | lighttpd
151 Mot inconnu : txt => 	$HTTP["url"] !~ "^/(images|javascripts|stylesheets|themes|plugin_assets|favicon.ico|apple-touch-icon.png)|.*html$|.*txt$|.*xml$" { | txt
151 Mot inconnu : xml => 	$HTTP["url"] !~ "^/(images|javascripts|stylesheets|themes|plugin_assets|favicon.ico|apple-touch-icon.png)|.*html$|.*txt$|.*xml$" { | xml

152 Il manque un espace. => 		proxy.balance = "fair" | balance => suggestions : [' balance']
152 Guillemets typographiques ouvrants. => 		proxy.balance = "fair" | " => suggestions : ['«\xa0', '“']
152 Mot inconnu : fair => 		proxy.balance = "fair" | fair
152 Guillemets typographiques fermants. => 		proxy.balance = "fair" | " => suggestions : ['\xa0»', '”']

153 Mot inconnu : server => 		proxy.server  = ("/" => ( | server
153 Espace(s) surnuméraire(s) à supprimer. => 		proxy.server  = ("/" => ( |    => suggestions : [' ']

154 Pas d’espace après ce signe. => 			( "host" => "127.0.0.1", "port" => 3000 ), | (  => suggestions : ['(']
154 Guillemets typographiques ouvrants. => 			( "host" => "127.0.0.1", "port" => 3000 ), | " => suggestions : ['«\xa0', '“']
154 Mot inconnu : host => 			( "host" => "127.0.0.1", "port" => 3000 ), | host
154 Guillemets typographiques fermants. => 			( "host" => "127.0.0.1", "port" => 3000 ), | " => suggestions : ['\xa0»', '”']
154 Guillemets typographiques ouvrants. => 			( "host" => "127.0.0.1", "port" => 3000 ), | " => suggestions : ['«\xa0', '“']
154 Guillemets typographiques fermants. => 			( "host" => "127.0.0.1", "port" => 3000 ), | " => suggestions : ['\xa0»', '”']
154 Pas d’espace avant ce signe. => 			( "host" => "127.0.0.1", "port" => 3000 ), |  ) => suggestions : [')']

155 Pas d’espace après ce signe. => 			( "host" => "127.0.0.1", "port" => 3001 ), | (  => suggestions : ['(']
155 Guillemets typographiques ouvrants. => 			( "host" => "127.0.0.1", "port" => 3001 ), | " => suggestions : ['«\xa0', '“']
155 Mot inconnu : host => 			( "host" => "127.0.0.1", "port" => 3001 ), | host
155 Guillemets typographiques fermants. => 			( "host" => "127.0.0.1", "port" => 3001 ), | " => suggestions : ['\xa0»', '”']
155 Guillemets typographiques ouvrants. => 			( "host" => "127.0.0.1", "port" => 3001 ), | " => suggestions : ['«\xa0', '“']
155 Guillemets typographiques fermants. => 			( "host" => "127.0.0.1", "port" => 3001 ), | " => suggestions : ['\xa0»', '”']
155 Pas d’espace avant ce signe. => 			( "host" => "127.0.0.1", "port" => 3001 ), |  ) => suggestions : [')']

156 Pas d’espace après ce signe. => 			( "host" => "127.0.0.1", "port" => 3002 ), | (  => suggestions : ['(']
156 Guillemets typographiques ouvrants. => 			( "host" => "127.0.0.1", "port" => 3002 ), | " => suggestions : ['«\xa0', '“']
156 Mot inconnu : host => 			( "host" => "127.0.0.1", "port" => 3002 ), | host
156 Guillemets typographiques fermants. => 			( "host" => "127.0.0.1", "port" => 3002 ), | " => suggestions : ['\xa0»', '”']
156 Guillemets typographiques ouvrants. => 			( "host" => "127.0.0.1", "port" => 3002 ), | " => suggestions : ['«\xa0', '“']
156 Guillemets typographiques fermants. => 			( "host" => "127.0.0.1", "port" => 3002 ), | " => suggestions : ['\xa0»', '”']
156 Pas d’espace avant ce signe. => 			( "host" => "127.0.0.1", "port" => 3002 ), |  ) => suggestions : [')']

157 Pas d’espace après ce signe. => 			( "host" => "127.0.0.1", "port" => 3003 ) | (  => suggestions : ['(']
157 Guillemets typographiques ouvrants. => 			( "host" => "127.0.0.1", "port" => 3003 ) | " => suggestions : ['«\xa0', '“']
157 Mot inconnu : host => 			( "host" => "127.0.0.1", "port" => 3003 ) | host
157 Guillemets typographiques fermants. => 			( "host" => "127.0.0.1", "port" => 3003 ) | " => suggestions : ['\xa0»', '”']
157 Guillemets typographiques ouvrants. => 			( "host" => "127.0.0.1", "port" => 3003 ) | " => suggestions : ['«\xa0', '“']
157 Guillemets typographiques fermants. => 			( "host" => "127.0.0.1", "port" => 3003 ) | " => suggestions : ['\xa0»', '”']
157 Pas d’espace avant ce signe. => 			( "host" => "127.0.0.1", "port" => 3003 ) |  ) => suggestions : [')']

