
69 Mot inconnu : seems => #Don't start lircmd even if there seems to be a good config file | seems
69 Mot inconnu : to => #Don't start lircmd even if there seems to be a good config file | to

70 Guillemets typographiques ouvrants. => #START_LIRCMD="false" | " => suggestions : ['«\xa0', '“']
70 Mot inconnu : false => #START_LIRCMD="false" | false
70 Guillemets typographiques fermants. => #START_LIRCMD="false" | " => suggestions : ['\xa0»', '”']

72 Mot inconnu : to => #Try to load appropriate kernel modules | to
72 Mot inconnu : load => #Try to load appropriate kernel modules | load
72 Mot inconnu : appropriate => #Try to load appropriate kernel modules | appropriate
72 Mot inconnu : kernel => #Try to load appropriate kernel modules | kernel

73 Mot inconnu : LOAD_MODULES => LOAD_MODULES="true" | load_modules
73 Guillemets typographiques ouvrants. => LOAD_MODULES="true" | " => suggestions : ['«\xa0', '“']
73 Mot inconnu : true => LOAD_MODULES="true" | true
73 Guillemets typographiques fermants. => LOAD_MODULES="true" | " => suggestions : ['\xa0»', '”']

75 Mot inconnu : Default => # Default configuration files for your hardware if any | default
75 Mot inconnu : your => # Default configuration files for your hardware if any | your
75 Mot inconnu : any => # Default configuration files for your hardware if any | any

76 Mot inconnu : LIRCMD_CONF => LIRCMD_CONF="" | lircmd_conf

78 Mot inconnu : noninteractive => #Forcing noninteractive reconfiguration | noninteractive

79 Mot inconnu : lirc => #If lirc is to be reconfigured by an external application | lirc
79 Mot inconnu : is => #If lirc is to be reconfigured by an external application | is
79 Mot inconnu : to => #If lirc is to be reconfigured by an external application | to
79 Mot inconnu : reconfigured => #If lirc is to be reconfigured by an external application | reconfigured
79 Mot inconnu : by => #If lirc is to be reconfigured by an external application | by
79 Mot inconnu : external => #If lirc is to be reconfigured by an external application | external

80 Mot inconnu : doesn't => #that doesn't have a debconf frontend available, the noninteractive | doesn't
80 Confusion probable : “a” est la conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => #that doesn't have a debconf frontend available, the noninteractive | a => suggestions : ['à']
80 Mot inconnu : debconf => #that doesn't have a debconf frontend available, the noninteractive | debconf
80 Mot inconnu : frontend => #that doesn't have a debconf frontend available, the noninteractive | frontend
80 Mot inconnu : available => #that doesn't have a debconf frontend available, the noninteractive | available
80 Mot inconnu : the => #that doesn't have a debconf frontend available, the noninteractive | the
80 Mot inconnu : noninteractive => #that doesn't have a debconf frontend available, the noninteractive | noninteractive

81 Mot inconnu : can => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | can
81 Mot inconnu : invoked => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | invoked
81 Mot inconnu : and => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | and
81 Mot inconnu : to => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | to
81 Mot inconnu : REMOTE => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | remote
81 Mot inconnu : and => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | and
81 Mot inconnu : TRANSMITTER => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | transmitter

82 Mot inconnu : will => #It will then populate all other variables without any user input | will
82 Mot inconnu : then => #It will then populate all other variables without any user input | then
82 Mot inconnu : populate => #It will then populate all other variables without any user input | populate
82 Mot inconnu : all => #It will then populate all other variables without any user input | all
