
78 Guillemets typographiques fermants. =>   user                            "mpd" | " => suggestions : ['\xa0»', '”']

80 Espace(s) en fin de ligne à supprimer. => Le serveur est ensuite lancé avec la commande  |   => suggestions : ['']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mpd |    => suggestions : ['']
81 Mot inconnu : mpd =>   mpd | mpd

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mpd --kill  |    => suggestions : ['']
84 Mot inconnu : mpd =>   mpd --kill  | mpd
84 Mot inconnu : kill =>   mpd --kill  | kill
84 Espace(s) en fin de ligne à supprimer. =>   mpd --kill  |   => suggestions : ['']

86 Accord de nombre erroné : « version » devrait être au pluriel. => Vous pouvez ensuite construire votre bibliothèque musicale avec un client qui possède cette fonctionnalité ou avec la commande (uniquement pour les version 0.15.x, à partir des versions 0.16.x, cette commande n'existe plus, la base de donnée est créée au premier démarrage de mpd) : | version => suggestions : ['versions']
86 Mot inconnu : mpd => Vous pouvez ensuite construire votre bibliothèque musicale avec un client qui possède cette fonctionnalité ou avec la commande (uniquement pour les version 0.15.x, à partir des versions 0.16.x, cette commande n'existe plus, la base de donnée est créée au premier démarrage de mpd) : | mpd

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mpd --create-db |    => suggestions : ['']
87 Mot inconnu : mpd =>   mpd --create-db | mpd
87 Mot inconnu : create-db =>   mpd --create-db | create-db

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo update-rc.d mpd start 30 2 3 4 5 . stop 14 0 1 6 . |    => suggestions : ['']
91 Mot inconnu : sudo =>   sudo update-rc.d mpd start 30 2 3 4 5 . stop 14 0 1 6 . | sudo
91 Mot inconnu : update-rc =>   sudo update-rc.d mpd start 30 2 3 4 5 . stop 14 0 1 6 . | update-rc
91 Mot inconnu : mpd =>   sudo update-rc.d mpd start 30 2 3 4 5 . stop 14 0 1 6 . | mpd
91 Mot inconnu : start =>   sudo update-rc.d mpd start 30 2 3 4 5 . stop 14 0 1 6 . | start
91 Pas d’espace avant un point. =>   sudo update-rc.d mpd start 30 2 3 4 5 . stop 14 0 1 6 . |  . => suggestions : ['.']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mpd --kill |    => suggestions : ['']
95 Mot inconnu : mpd =>   mpd --kill | mpd
95 Mot inconnu : kill =>   mpd --kill | kill

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/mpd start |    => suggestions : ['']
96 Mot inconnu : sudo =>   sudo /etc/init.d/mpd start | sudo
96 Mot inconnu : start =>   sudo /etc/init.d/mpd start | start

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

98 Mot inconnu : SSH => ==== Connexion en SSH : MPD + Client(s) ==== | ssh
98 Mot inconnu : MPD => ==== Connexion en SSH : MPD + Client(s) ==== | mpd
