57 Mot inconnu : Figari => | 20 - Figari Sud Corsica | LFKF |
57 Mot inconnu : Corsica => | 20 - Figari Sud Corsica | LFKF |
57 Mot inconnu : LFKF => | 20 - Figari Sud Corsica | LFKF |

58 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 20 - Solenzara (base aérienne) | LFKS |
58 Mot inconnu : Solenzara => | 20 - Solenzara (base aérienne) | LFKS |
58 Mot inconnu : LFKS => | 20 - Solenzara (base aérienne) | LFKS |

59 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 21 - Dijon Longvic | LFSD |
59 Mot inconnu : Longvic => | 21 - Dijon Longvic | LFSD |
59 Mot inconnu : LFSD => | 21 - Dijon Longvic | LFSD |

60 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 22 - Lannion Servel | LFRO |
60 Mot inconnu : Servel => | 22 - Lannion Servel | LFRO |
60 Mot inconnu : LFRO => | 22 - Lannion Servel | LFRO |

61 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 22 - Saint-Brieuc Armor | LFRT |
61 Mot inconnu : LFRT => | 22 - Saint-Brieuc Armor | LFRT |

62 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 24 - Bergerac Roumanier | LFBE |
62 Mot inconnu : Roumanier => | 24 - Bergerac Roumanier | LFBE |
62 Mot inconnu : LFBE => | 24 - Bergerac Roumanier | LFBE |

63 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 25 - Besançon Thise | LFSA |
63 Mot inconnu : Thise => | 25 - Besançon Thise | LFSA |
63 Mot inconnu : LFSA => | 25 - Besançon Thise | LFSA |

64 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 26 - Montélimar Ancône | LFLQ |
64 Mot inconnu : Ancône => | 26 - Montélimar Ancône | LFLQ |
64 Mot inconnu : LFLQ => | 26 - Montélimar Ancône | LFLQ |

65 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 27 - Evreux Fauville | LFOE |
65 Mot inconnu : Evreux => | 27 - Evreux Fauville | LFOE |
65 Mot inconnu : Fauville => | 27 - Evreux Fauville | LFOE |
65 Mot inconnu : LFOE => | 27 - Evreux Fauville | LFOE |

66 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 28 - Chartres Champol | LFOR |
66 Mot inconnu : Champol => | 28 - Chartres Champol | LFOR |
66 Mot inconnu : LFOR => | 28 - Chartres Champol | LFOR |

67 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 28 - Chateaudun | LFOC |
67 Mot inconnu : Chateaudun => | 28 - Chateaudun | LFOC |
67 Mot inconnu : LFOC => | 28 - Chateaudun | LFOC |

68 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 29 - Brest Guipavas | LFRB |
68 Mot inconnu : LFRB => | 29 - Brest Guipavas | LFRB |

69 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 29 - Quimper Pluguffan | LFRQ |
69 Mot inconnu : Pluguffan => | 29 - Quimper Pluguffan | LFRQ |
69 Mot inconnu : LFRQ => | 29 - Quimper Pluguffan | LFRQ |

70 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 30 - Nimes Courbessac | LFME |
70 Mot inconnu : Nimes => | 30 - Nimes Courbessac | LFME |
70 Mot inconnu : Courbessac => | 30 - Nimes Courbessac | LFME |
70 Mot inconnu : LFME => | 30 - Nimes Courbessac | LFME |

71 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 30 - Nimes Garons | LFTW |
71 Mot inconnu : Nimes => | 30 - Nimes Garons | LFTW |
71 Mot inconnu : LFTW => | 30 - Nimes Garons | LFTW |

72 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 31 - Toulouse  Blagnac | LFBO |
72 Espace(s) surnuméraire(s) à supprimer. => | 31 - Toulouse  Blagnac | LFBO |
72 Mot inconnu : LFBO => | 31 - Toulouse  Blagnac | LFBO |

73 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 32 - Auch Lamothe | LFDH |
73 Mot inconnu : Lamothe => | 32 - Auch Lamothe | LFDH |
73 Mot inconnu : LFDH => | 32 - Auch Lamothe | LFDH |

74 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 33 - Bordeaux Mérignac | LFBD |
74 Mot inconnu : LFBD => | 33 - Bordeaux Mérignac | LFBD |

75 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 34 - Béziers Vias | LFMU |
75 Mot inconnu : Vias => | 34 - Béziers Vias | LFMU |
75 Mot inconnu : LFMU => | 34 - Béziers Vias | LFMU |

76 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 34 - Montpellier Frejorgues Mediterranee | LFMT |
76 Mot inconnu : Frejorgues => | 34 - Montpellier Frejorgues Mediterranee | LFMT |
76 Mot inconnu : Mediterranee => | 34 - Montpellier Frejorgues Mediterranee | LFMT |
76 Mot inconnu : LFMT => | 34 - Montpellier Frejorgues Mediterranee | LFMT |

77 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 35 - Dinard Pleurtuit | LFRD |
77 Mot inconnu : Pleurtuit => | 35 - Dinard Pleurtuit | LFRD |
77 Mot inconnu : LFRD => | 35 - Dinard Pleurtuit | LFRD |

78 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 35 - Rennes Saint-Jacques | LFRN |
78 Mot inconnu : LFRN => | 35 - Rennes Saint-Jacques | LFRN |

79 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 36 - Châteauroux Deols | LFLX |
79 Mot inconnu : Deols => | 36 - Châteauroux Deols | LFLX |
79 Mot inconnu : LFLX => | 36 - Châteauroux Deols | LFLX |

80 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 37 - Tours St Symphorien | LFOT |
80 Il manque un trait d’union s’il s’agit d’une église, d’une cité, d’une communauté, d’un lieu… S’il s’agit d’une personne, écrivez “saint” ou “sainte” sans majuscule, sans trait d’union. => | 37 - Tours St Symphorien | LFOT |
