
16 Typographie : points de suspension. Utilisez le caractère dédié. [[91:94]] => Plus loin, un tableau non exhaustif récapitulant les codes trouvés sur différents sites web... <|> ... => suggestions : ['…']
18 Mot inconnu : vga [[44:47]] => ===== Tableau des codes pour le paramètre « vga » ====== <|> vga
20 Mot inconnu : vga [[137:140]] => Il existe deux type de codes --- décimaux ou hexadécimaux --- qui peuvent l'un comme l'autre être passés au noyau //via// le paramètre « vga ». <|> vga
27 Espace(s) en fin de ligne à supprimer. [[129:131]] => Ou bien utilisez le tableau suivant (à noter que certaines valeurs de ce tableau semblent variables suivant la carte graphique) :   <|>    => suggestions : ['']

30 Mot inconnu : hexa [[35:39]] => ^ Taille ^ Nom ^ Ratio ^ décimal ^ hexa. ^ décimal ^ hexa. ^ décimal ^ hexa. ^ <|> hexa
30 Mot inconnu : hexa [[53:57]] => ^ Taille ^ Nom ^ Ratio ^ décimal ^ hexa. ^ décimal ^ hexa. ^ décimal ^ hexa. ^ <|> hexa
30 Mot inconnu : hexa [[71:75]] => ^ Taille ^ Nom ^ Ratio ^ décimal ^ hexa. ^ décimal ^ hexa. ^ décimal ^ hexa. ^ <|> hexa

46 Mot inconnu : x307 [[36:40]] => |1280 × 1024 |SXGA  |1.25 |775  |**0x307** |794  |**0x31A** |795   |**0x31B** | <|> x307
46 Espace(s) surnuméraire(s) à supprimer. [[47:49]] => |1280 × 1024 |SXGA  |1.25 |775  |**0x307** |794  |**0x31A** |795   |**0x31B** | <|>    => suggestions : [' ']
46 Mot inconnu : x31A [[53:57]] => |1280 × 1024 |SXGA  |1.25 |775  |**0x307** |794  |**0x31A** |795   |**0x31B** | <|> x31a
46 Espace(s) surnuméraire(s) à supprimer. [[64:67]] => |1280 × 1024 |SXGA  |1.25 |775  |**0x307** |794  |**0x31A** |795   |**0x31B** | <|>     => suggestions : [' ']
46 Mot inconnu : x31B [[71:75]] => |1280 × 1024 |SXGA  |1.25 |775  |**0x307** |794  |**0x31A** |795   |**0x31B** | <|> x31b

47 Mot inconnu : QSXGA [[14:19]] => |2560 × 2048 |QSXGA |1.25 | ? | ? | ? | ? | ? | ? | <|> qsxga

49 Espace(s) surnuméraire(s) à supprimer. [[11:13]] => |1280 × 720  |WXGA  |1.77 | ? | ? | ? | ? | ? | **0x037b** | <|>    => suggestions : [' ']
49 Mot inconnu : WXGA [[14:18]] => |1280 × 720  |WXGA  |1.77 | ? | ? | ? | ? | ? | **0x037b** | <|> wxga
49 Espace(s) surnuméraire(s) à supprimer. [[18:20]] => |1280 × 720  |WXGA  |1.77 | ? | ? | ? | ? | ? | **0x037b** | <|>    => suggestions : [' ']
49 Mot inconnu : x037b [[51:56]] => |1280 × 720  |WXGA  |1.77 | ? | ? | ? | ? | ? | **0x037b** | <|> x037b

50 Mot inconnu : WSXGA [[14:19]] => |1600 × 1024 |WSXGA |1.56 | ? | ? | ? | ? | ? | ? | <|> wsxga

64 Mettez des guillemets fermants plutôt qu’ouvrants. [[2:4]] => Où « ??? » représente le code de définition actuel de l'écran de démarrage. Exemples: vga=792 ou vga=0x318\\ <|>  « => suggestions : ['\xa0»', '”']
64 Mot inconnu : vga [[86:89]] => Où « ??? » représente le code de définition actuel de l'écran de démarrage. Exemples: vga=792 ou vga=0x318\\ <|> vga
64 Mot inconnu : vga [[97:100]] => Où « ??? » représente le code de définition actuel de l'écran de démarrage. Exemples: vga=792 ou vga=0x318\\ <|> vga
64 Mot inconnu : x318 [[102:106]] => Où « ??? » représente le code de définition actuel de l'écran de démarrage. Exemples: vga=792 ou vga=0x318\\ <|> x318
65 Mot inconnu : vga [[33:36]] => Si aucune mention du paramètre « vga » n'est faite dans la seconde ligne, vous pouvez toujours l'ajouter, par exemple de cette manière : <|> vga
