1 Mot inconnu : Mysteroïd => ====== Mysteroïd ====== | mysteroïd
27 Typographie : points de suspension. Utilisez le caractère dédié. => J'ai fait pas mal de développement dans différents langages plus ou moins évolués (Rien d'orienté objet... oui c'était aussi avant le déluge donc plutôt Assembleur, Pascal et au départ des BASIC divers...), Alors j'ai codé, toujours par goût personnel... des choses souvent inutiles mais tant qu'on se fait plaisir ! : "Démos", anti-virus et divers jeux sur Amiga (assembleur Motorola 68k Seka, AMOS...) archiveur de CD (QBasic), économiseur d'écran à base de fractals (Pascal) un tunnel 3D avec défilement en boucle d'une texture et "bilinear filtering" 100% (asm x86) et sans recours aux accélérateurs graphiques... bref, la liste détaillée serait encore plus longue et fastidieuse ! :p) | ... => suggestions : ['…']

29 Guillemets typographiques ouvrants. => Actuellement je n'ai plus le temps de me remettre à programmer "pour de bon" alors je me contente de scripts en [[http://fr.wikipedia.org/wiki/Bourne-Again_shell|Bash]] qui rendent tout de même bien des services sous Ubuntu. | " => suggestions : ['«\xa0', '“']
29 Guillemets typographiques fermants. => Actuellement je n'ai plus le temps de me remettre à programmer "pour de bon" alors je me contente de scripts en [[http://fr.wikipedia.org/wiki/Bourne-Again_shell|Bash]] qui rendent tout de même bien des services sous Ubuntu. | " => suggestions : ['\xa0»', '”']

31 Mot inconnu : AKA => Malgré les innombrables heures passées sur les ordinateurs depuis mes jeunes années j'ai étudié la biologie et les plantes médicinales et fini gérant d'un magasin de produits naturels de santé et de bien-être (AKA herboristerie... mais en France nous restons de marginaux sorciers qui ne devrions pas employer ce terme...) | aka
31 Typographie : points de suspension. Utilisez le caractère dédié. => Malgré les innombrables heures passées sur les ordinateurs depuis mes jeunes années j'ai étudié la biologie et les plantes médicinales et fini gérant d'un magasin de produits naturels de santé et de bien-être (AKA herboristerie... mais en France nous restons de marginaux sorciers qui ne devrions pas employer ce terme...) | ... => suggestions : ['…']
31 Typographie : points de suspension. Utilisez le caractère dédié. => Malgré les innombrables heures passées sur les ordinateurs depuis mes jeunes années j'ai étudié la biologie et les plantes médicinales et fini gérant d'un magasin de produits naturels de santé et de bien-être (AKA herboristerie... mais en France nous restons de marginaux sorciers qui ne devrions pas employer ce terme...) | ... => suggestions : ['…']

37 Typographie : points de suspension. Utilisez le caractère dédié. => Depuis des années je songeais à me mettre à Linux et puis faute de temps et de réelle nécessité il a fallu attendre que j'entende parler plusieurs fois d'Ubuntu ...et que je constate qu'un logiciel d'encaissement et gestion commercial adapté à ma profession était en développement (en JAVA) avec une optique d'installation sur OS Ubuntu pour qu'enfin je fasse enfin le pas ! | ... => suggestions : ['…']

39 Avec une unité de mesure, mettez un espace insécable. => Je ne le regrette pas j'utilise finalement Ubuntu (Hardy) depuis l'été 2008. Actuellement je n'utilise qu'Ubuntu (ou du moins à 99,9% !), tant dans mon activité professionnelle qu'à la maison. J'ai en tout 4 PC Ubuntu dont 3 en dual boot sur lesquels trainent également de vieux OS Wintruc que je n'utilise jamais... | 99,9% => suggestions : ['99,9\xa0%']
39 Si “PC” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Je ne le regrette pas j'utilise finalement Ubuntu (Hardy) depuis l'été 2008. Actuellement je n'utilise qu'Ubuntu (ou du moins à 99,9% !), tant dans mon activité professionnelle qu'à la maison. J'ai en tout 4 PC Ubuntu dont 3 en dual boot sur lesquels trainent également de vieux OS Wintruc que je n'utilise jamais... | 4 pc => suggestions : ['4\xa0PC']
39 Mot inconnu : boot => Je ne le regrette pas j'utilise finalement Ubuntu (Hardy) depuis l'été 2008. Actuellement je n'utilise qu'Ubuntu (ou du moins à 99,9% !), tant dans mon activité professionnelle qu'à la maison. J'ai en tout 4 PC Ubuntu dont 3 en dual boot sur lesquels trainent également de vieux OS Wintruc que je n'utilise jamais... | boot
39 Mot inconnu : Wintruc => Je ne le regrette pas j'utilise finalement Ubuntu (Hardy) depuis l'été 2008. Actuellement je n'utilise qu'Ubuntu (ou du moins à 99,9% !), tant dans mon activité professionnelle qu'à la maison. J'ai en tout 4 PC Ubuntu dont 3 en dual boot sur lesquels trainent également de vieux OS Wintruc que je n'utilise jamais... | wintruc
39 Typographie : points de suspension. Utilisez le caractère dédié. => Je ne le regrette pas j'utilise finalement Ubuntu (Hardy) depuis l'été 2008. Actuellement je n'utilise qu'Ubuntu (ou du moins à 99,9% !), tant dans mon activité professionnelle qu'à la maison. J'ai en tout 4 PC Ubuntu dont 3 en dual boot sur lesquels trainent également de vieux OS Wintruc que je n'utilise jamais... | ... => suggestions : ['…']

41 Typographie : points de suspension. Utilisez le caractère dédié. => ==== Petite participation... ==== | ... => suggestions : ['…']

51 Mot inconnu : AKA => **Cédric** AKA [[Mysteroïd]] ou il y a longtemps, Storm-Coder... | aka
51 Mot inconnu : Mysteroïd => **Cédric** AKA [[Mysteroïd]] ou il y a longtemps, Storm-Coder... | mysteroïd
51 Mot inconnu : Storm-Coder => **Cédric** AKA [[Mysteroïd]] ou il y a longtemps, Storm-Coder... | storm-coder
51 Typographie : points de suspension. Utilisez le caractère dédié. => **Cédric** AKA [[Mysteroïd]] ou il y a longtemps, Storm-Coder... | ... => suggestions : ['…']
