1 Mot inconnu : warhole => ====== warhole ====== | warhole
18 Mot inconnu : spyware => Ce qui m'a fait changer d'avis est le fameux spyware de microsoft et de cette fabuleuse polémique sur la surveillance informatique et la liberté d'internet. | spyware
18 Mot inconnu : microsoft => Ce qui m'a fait changer d'avis est le fameux spyware de microsoft et de cette fabuleuse polémique sur la surveillance informatique et la liberté d'internet. | microsoft

19 Mot inconnu : reflexion => Après beaucoup de reflexion, une décision importante a été prise. C'est décidé, je passe à Linux! | reflexion
20 Mot inconnu : linux => Depuis 5 ans, je travaille sous linux, j'ai commencé par une mandrake puis débian est vite arrivée sur mon pc par sa stabilité et sa philosophie du libre. | linux
20 Mot inconnu : mandrake => Depuis 5 ans, je travaille sous linux, j'ai commencé par une mandrake puis débian est vite arrivée sur mon pc par sa stabilité et sa philosophie du libre. | mandrake
20 Mot inconnu : débian => Depuis 5 ans, je travaille sous linux, j'ai commencé par une mandrake puis débian est vite arrivée sur mon pc par sa stabilité et sa philosophie du libre. | débian

21 Mot inconnu : Opensuse => Opensuse est passé pendant un an mais depuis cette collaboration avec Microsoft, Ubuntu et sa simplicité m'a énormément plu. Je ne m'en passe plus! | opensuse

25 Mot inconnu : A6km => Ordinateur portable Asus A6km Q0007H. | a6km
25 Mot inconnu : Q0007H => Ordinateur portable Asus A6km Q0007H. | q0007h

36 Mot inconnu : Edgy => Actuellement, j'utilise la version 6.10 Edgy Eft qui m'apporte entière satisfaction malgré quelques instabilités avec l'utilisation du wifi et du fameux firmware fwcutter. | edgy
36 Mot inconnu : Eft => Actuellement, j'utilise la version 6.10 Edgy Eft qui m'apporte entière satisfaction malgré quelques instabilités avec l'utilisation du wifi et du fameux firmware fwcutter. | eft
36 Mot inconnu : fwcutter => Actuellement, j'utilise la version 6.10 Edgy Eft qui m'apporte entière satisfaction malgré quelques instabilités avec l'utilisation du wifi et du fameux firmware fwcutter. | fwcutter

38 Mot inconnu : packard => L'ordinateur de mon amie est sous la 6.06 avec un portable packard bell et fonctionne parfaitement avec une carte wifi pcmcia lynksys comprenant un chipset broadcom 4318. | packard
38 Mot inconnu : bell => L'ordinateur de mon amie est sous la 6.06 avec un portable packard bell et fonctionne parfaitement avec une carte wifi pcmcia lynksys comprenant un chipset broadcom 4318. | bell
38 Mot inconnu : pcmcia => L'ordinateur de mon amie est sous la 6.06 avec un portable packard bell et fonctionne parfaitement avec une carte wifi pcmcia lynksys comprenant un chipset broadcom 4318. | pcmcia
38 Mot inconnu : lynksys => L'ordinateur de mon amie est sous la 6.06 avec un portable packard bell et fonctionne parfaitement avec une carte wifi pcmcia lynksys comprenant un chipset broadcom 4318. | lynksys
38 Mot inconnu : chipset => L'ordinateur de mon amie est sous la 6.06 avec un portable packard bell et fonctionne parfaitement avec une carte wifi pcmcia lynksys comprenant un chipset broadcom 4318. | chipset
38 Mot inconnu : broadcom => L'ordinateur de mon amie est sous la 6.06 avec un portable packard bell et fonctionne parfaitement avec une carte wifi pcmcia lynksys comprenant un chipset broadcom 4318. | broadcom
