
2 Mot inconnu : usr => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | usr
2 Mot inconnu : share => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | share
2 Mot inconnu : cups => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | cups
2 Mot inconnu : model => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | model
2 Mot inconnu : Lexmark-Z35-lxz35cj-cups => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | lexmark-z35-lxz35cj-cups
2 Mot inconnu : ppd => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | ppd
2 Mot inconnu : gz => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | gz

6 Mot inconnu : PPD-Adobe => *PPD-Adobe: "4.3" | ppd-adobe
25 Mot inconnu : True => *ColorDevice:	True | true

26 Mot inconnu : DefaultColorSpace => *DefaultColorSpace:	RGB | defaultcolorspace
26 Mot inconnu : RGB => *DefaultColorSpace:	RGB | rgb

27 Mot inconnu : FileSystem => *FileSystem:	False | filesystem
27 Mot inconnu : False => *FileSystem:	False | false

28 Mot inconnu : Throughput => *Throughput:	"15" | throughput
28 Guillemets typographiques ouvrants. => *Throughput:	"15" | " => suggestions : ['«\xa0', '“']
28 Guillemets typographiques fermants. => *Throughput:	"15" | " => suggestions : ['\xa0»', '”']

29 Mot inconnu : LandscapeOrientation => *LandscapeOrientation: Plus90 | landscapeorientation
29 Mot inconnu : Plus90 => *LandscapeOrientation: Plus90 | plus90

30 Mot inconnu : VariablePaperSize => *VariablePaperSize: False | variablepapersize
30 Mot inconnu : False => *VariablePaperSize: False | false

31 Mot inconnu : TTRasterizer => *TTRasterizer:	Type42 | ttrasterizer
31 Mot inconnu : Type42 => *TTRasterizer:	Type42 | type42

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

35 Mot inconnu : OpenUI => *OpenUI *PageSize/Media Size: PickOne | openui
35 Mot inconnu : PageSize => *OpenUI *PageSize/Media Size: PickOne | pagesize
35 Mot inconnu : Size => *OpenUI *PageSize/Media Size: PickOne | size
35 Mot inconnu : PickOne => *OpenUI *PageSize/Media Size: PickOne | pickone

36 Mot inconnu : OrderDependency => *OrderDependency: 20 AnySetup *PageSize  | orderdependency
36 Mot inconnu : AnySetup => *OrderDependency: 20 AnySetup *PageSize  | anysetup
36 Mot inconnu : PageSize => *OrderDependency: 20 AnySetup *PageSize  | pagesize
36 Espace(s) en fin de ligne à supprimer. => *OrderDependency: 20 AnySetup *PageSize  |   => suggestions : ['']

37 Mot inconnu : DefaultPageSize => *DefaultPageSize: Letter | defaultpagesize
37 Mot inconnu : Letter => *DefaultPageSize: Letter | letter

38 Mot inconnu : PageSize => *PageSize Letter/Letter: "<</PageSize[612 792]/ImagingBBox null>>setpagedevice" | pagesize
38 Mot inconnu : Letter => *PageSize Letter/Letter: "<</PageSize[612 792]/ImagingBBox null>>setpagedevice" | letter
38 Mot inconnu : Letter => *PageSize Letter/Letter: "<</PageSize[612 792]/ImagingBBox null>>setpagedevice" | letter
38 Mot inconnu : PageSize => *PageSize Letter/Letter: "<</PageSize[612 792]/ImagingBBox null>>setpagedevice" | pagesize
38 Grands nombres : utilisez des espaces insécables. => *PageSize Letter/Letter: "<</PageSize[612 792]/ImagingBBox null>>setpagedevice" | 612 792 => suggestions : ['612\xa0792']
38 Mot inconnu : ImagingBBox => *PageSize Letter/Letter: "<</PageSize[612 792]/ImagingBBox null>>setpagedevice" | imagingbbox
38 Mot inconnu : null => *PageSize Letter/Letter: "<</PageSize[612 792]/ImagingBBox null>>setpagedevice" | null
38 Mot inconnu : setpagedevice => *PageSize Letter/Letter: "<</PageSize[612 792]/ImagingBBox null>>setpagedevice" | setpagedevice
38 Guillemets typographiques fermants. => *PageSize Letter/Letter: "<</PageSize[612 792]/ImagingBBox null>>setpagedevice" | " => suggestions : ['\xa0»', '”']

39 Mot inconnu : PageSize => *PageSize A4/A4: "<</PageSize[595 842]/ImagingBBox null>>setpagedevice" | pagesize
39 Mot inconnu : A4 => *PageSize A4/A4: "<</PageSize[595 842]/ImagingBBox null>>setpagedevice" | a4
39 Mot inconnu : A4 => *PageSize A4/A4: "<</PageSize[595 842]/ImagingBBox null>>setpagedevice" | a4
39 Mot inconnu : PageSize => *PageSize A4/A4: "<</PageSize[595 842]/ImagingBBox null>>setpagedevice" | pagesize
39 Grands nombres : utilisez des espaces insécables. => *PageSize A4/A4: "<</PageSize[595 842]/ImagingBBox null>>setpagedevice" | 595 842 => suggestions : ['595\xa0842']
39 Mot inconnu : ImagingBBox => *PageSize A4/A4: "<</PageSize[595 842]/ImagingBBox null>>setpagedevice" | imagingbbox
39 Mot inconnu : null => *PageSize A4/A4: "<</PageSize[595 842]/ImagingBBox null>>setpagedevice" | null
39 Mot inconnu : setpagedevice => *PageSize A4/A4: "<</PageSize[595 842]/ImagingBBox null>>setpagedevice" | setpagedevice
39 Guillemets typographiques fermants. => *PageSize A4/A4: "<</PageSize[595 842]/ImagingBBox null>>setpagedevice" | " => suggestions : ['\xa0»', '”']

40 Mot inconnu : PageSize => *PageSize Statement/Statement: "<</PageSize[396 612]/ImagingBBox null>>setpagedevice" | pagesize
40 Mot inconnu : Statement => *PageSize Statement/Statement: "<</PageSize[396 612]/ImagingBBox null>>setpagedevice" | statement
40 Mot inconnu : Statement => *PageSize Statement/Statement: "<</PageSize[396 612]/ImagingBBox null>>setpagedevice" | statement
40 Mot inconnu : PageSize => *PageSize Statement/Statement: "<</PageSize[396 612]/ImagingBBox null>>setpagedevice" | pagesize
40 Grands nombres : utilisez des espaces insécables. => *PageSize Statement/Statement: "<</PageSize[396 612]/ImagingBBox null>>setpagedevice" | 396 612 => suggestions : ['396\xa0612']
40 Mot inconnu : ImagingBBox => *PageSize Statement/Statement: "<</PageSize[396 612]/ImagingBBox null>>setpagedevice" | imagingbbox
40 Mot inconnu : null => *PageSize Statement/Statement: "<</PageSize[396 612]/ImagingBBox null>>setpagedevice" | null
40 Mot inconnu : setpagedevice => *PageSize Statement/Statement: "<</PageSize[396 612]/ImagingBBox null>>setpagedevice" | setpagedevice
40 Guillemets typographiques fermants. => *PageSize Statement/Statement: "<</PageSize[396 612]/ImagingBBox null>>setpagedevice" | " => suggestions : ['\xa0»', '”']

41 Mot inconnu : PageSize => *PageSize Legal/Legal: "<</PageSize[612 1008]/ImagingBBox null>>setpagedevice" | pagesize
41 Mot inconnu : Legal => *PageSize Legal/Legal: "<</PageSize[612 1008]/ImagingBBox null>>setpagedevice" | legal
41 Mot inconnu : Legal => *PageSize Legal/Legal: "<</PageSize[612 1008]/ImagingBBox null>>setpagedevice" | legal
41 Mot inconnu : PageSize => *PageSize Legal/Legal: "<</PageSize[612 1008]/ImagingBBox null>>setpagedevice" | pagesize
41 Mot inconnu : ImagingBBox => *PageSize Legal/Legal: "<</PageSize[612 1008]/ImagingBBox null>>setpagedevice" | imagingbbox
41 Mot inconnu : null => *PageSize Legal/Legal: "<</PageSize[612 1008]/ImagingBBox null>>setpagedevice" | null
41 Mot inconnu : setpagedevice => *PageSize Legal/Legal: "<</PageSize[612 1008]/ImagingBBox null>>setpagedevice" | setpagedevice
41 Guillemets typographiques fermants. => *PageSize Legal/Legal: "<</PageSize[612 1008]/ImagingBBox null>>setpagedevice" | " => suggestions : ['\xa0»', '”']

42 Mot inconnu : PageSize => *PageSize B5/B5: "<</PageSize[516 729]/ImagingBBox null>>setpagedevice" | pagesize
42 Mot inconnu : B5 => *PageSize B5/B5: "<</PageSize[516 729]/ImagingBBox null>>setpagedevice" | b5
42 Mot inconnu : B5 => *PageSize B5/B5: "<</PageSize[516 729]/ImagingBBox null>>setpagedevice" | b5
42 Mot inconnu : PageSize => *PageSize B5/B5: "<</PageSize[516 729]/ImagingBBox null>>setpagedevice" | pagesize
42 Grands nombres : utilisez des espaces insécables. => *PageSize B5/B5: "<</PageSize[516 729]/ImagingBBox null>>setpagedevice" | 516 729 => suggestions : ['516\xa0729']
42 Mot inconnu : ImagingBBox => *PageSize B5/B5: "<</PageSize[516 729]/ImagingBBox null>>setpagedevice" | imagingbbox
42 Mot inconnu : null => *PageSize B5/B5: "<</PageSize[516 729]/ImagingBBox null>>setpagedevice" | null
42 Mot inconnu : setpagedevice => *PageSize B5/B5: "<</PageSize[516 729]/ImagingBBox null>>setpagedevice" | setpagedevice
42 Guillemets typographiques fermants. => *PageSize B5/B5: "<</PageSize[516 729]/ImagingBBox null>>setpagedevice" | " => suggestions : ['\xa0»', '”']

43 Mot inconnu : PageSize => *PageSize Executive/Executive: "<</PageSize[522 756]/ImagingBBox null>>setpagedevice" | pagesize
43 Mot inconnu : Executive => *PageSize Executive/Executive: "<</PageSize[522 756]/ImagingBBox null>>setpagedevice" | executive
43 Mot inconnu : Executive => *PageSize Executive/Executive: "<</PageSize[522 756]/ImagingBBox null>>setpagedevice" | executive
43 Mot inconnu : PageSize => *PageSize Executive/Executive: "<</PageSize[522 756]/ImagingBBox null>>setpagedevice" | pagesize
43 Grands nombres : utilisez des espaces insécables. => *PageSize Executive/Executive: "<</PageSize[522 756]/ImagingBBox null>>setpagedevice" | 522 756 => suggestions : ['522\xa0756']
43 Mot inconnu : ImagingBBox => *PageSize Executive/Executive: "<</PageSize[522 756]/ImagingBBox null>>setpagedevice" | imagingbbox
43 Mot inconnu : null => *PageSize Executive/Executive: "<</PageSize[522 756]/ImagingBBox null>>setpagedevice" | null
43 Mot inconnu : setpagedevice => *PageSize Executive/Executive: "<</PageSize[522 756]/ImagingBBox null>>setpagedevice" | setpagedevice
43 Guillemets typographiques fermants. => *PageSize Executive/Executive: "<</PageSize[522 756]/ImagingBBox null>>setpagedevice" | " => suggestions : ['\xa0»', '”']

44 Mot inconnu : PageSize => *PageSize A5/A5: "<</PageSize[420 595]/ImagingBBox null>>setpagedevice" | pagesize
44 Mot inconnu : A5 => *PageSize A5/A5: "<</PageSize[420 595]/ImagingBBox null>>setpagedevice" | a5
44 Mot inconnu : A5 => *PageSize A5/A5: "<</PageSize[420 595]/ImagingBBox null>>setpagedevice" | a5
44 Mot inconnu : PageSize => *PageSize A5/A5: "<</PageSize[420 595]/ImagingBBox null>>setpagedevice" | pagesize
44 Grands nombres : utilisez des espaces insécables. => *PageSize A5/A5: "<</PageSize[420 595]/ImagingBBox null>>setpagedevice" | 420 595 => suggestions : ['420\xa0595']
44 Mot inconnu : ImagingBBox => *PageSize A5/A5: "<</PageSize[420 595]/ImagingBBox null>>setpagedevice" | imagingbbox
44 Mot inconnu : null => *PageSize A5/A5: "<</PageSize[420 595]/ImagingBBox null>>setpagedevice" | null
44 Mot inconnu : setpagedevice => *PageSize A5/A5: "<</PageSize[420 595]/ImagingBBox null>>setpagedevice" | setpagedevice
44 Guillemets typographiques fermants. => *PageSize A5/A5: "<</PageSize[420 595]/ImagingBBox null>>setpagedevice" | " => suggestions : ['\xa0»', '”']

45 Mot inconnu : PageSize => *PageSize A6Cardstock/A6 Cardstock: "<</PageSize[298 420]/ImagingBBox null>>setpagedevice" | pagesize
45 Mot inconnu : A6Cardstock => *PageSize A6Cardstock/A6 Cardstock: "<</PageSize[298 420]/ImagingBBox null>>setpagedevice" | a6cardstock
45 Mot inconnu : A6 => *PageSize A6Cardstock/A6 Cardstock: "<</PageSize[298 420]/ImagingBBox null>>setpagedevice" | a6
45 Mot inconnu : Cardstock => *PageSize A6Cardstock/A6 Cardstock: "<</PageSize[298 420]/ImagingBBox null>>setpagedevice" | cardstock
45 Mot inconnu : PageSize => *PageSize A6Cardstock/A6 Cardstock: "<</PageSize[298 420]/ImagingBBox null>>setpagedevice" | pagesize
45 Grands nombres : utilisez des espaces insécables. => *PageSize A6Cardstock/A6 Cardstock: "<</PageSize[298 420]/ImagingBBox null>>setpagedevice" | 298 420 => suggestions : ['298\xa0420']
45 Mot inconnu : ImagingBBox => *PageSize A6Cardstock/A6 Cardstock: "<</PageSize[298 420]/ImagingBBox null>>setpagedevice" | imagingbbox
45 Mot inconnu : null => *PageSize A6Cardstock/A6 Cardstock: "<</PageSize[298 420]/ImagingBBox null>>setpagedevice" | null
45 Mot inconnu : setpagedevice => *PageSize A6Cardstock/A6 Cardstock: "<</PageSize[298 420]/ImagingBBox null>>setpagedevice" | setpagedevice
45 Guillemets typographiques fermants. => *PageSize A6Cardstock/A6 Cardstock: "<</PageSize[298 420]/ImagingBBox null>>setpagedevice" | " => suggestions : ['\xa0»', '”']

46 Mot inconnu : PageSize => *PageSize IndexCard3X5/Index Card 3x5: "<</PageSize[216 360]/ImagingBBox null>>setpagedevice" | pagesize
46 Mot inconnu : IndexCard3X5 => *PageSize IndexCard3X5/Index Card 3x5: "<</PageSize[216 360]/ImagingBBox null>>setpagedevice" | indexcard3x5
46 Signe de multiplication typographique. => *PageSize IndexCard3X5/Index Card 3x5: "<</PageSize[216 360]/ImagingBBox null>>setpagedevice" | 3x5 => suggestions : ['3\xa0×\xa05']
46 Mot inconnu : x5 => *PageSize IndexCard3X5/Index Card 3x5: "<</PageSize[216 360]/ImagingBBox null>>setpagedevice" | x5
46 Mot inconnu : PageSize => *PageSize IndexCard3X5/Index Card 3x5: "<</PageSize[216 360]/ImagingBBox null>>setpagedevice" | pagesize
46 Grands nombres : utilisez des espaces insécables. => *PageSize IndexCard3X5/Index Card 3x5: "<</PageSize[216 360]/ImagingBBox null>>setpagedevice" | 216 360 => suggestions : ['216\xa0360']
